1,0,1,spray0_menu,sprays/spray0,dr_s0,dr_s0d
2,1,2,spray1_menu,sprays/spray1,dr_s1,dr_s1d
3,2,3,spray2_menu,sprays/spray2,dr_s2,dr_s2d
4,3,4,spray3_menu,sprays/spray3,dr_s3,dr_s3d
5,4,5,spray4_menu,sprays/spray4,dr_s4,dr_s4d
6,5,6,spray5_menu,sprays/spray5,dr_s5,dr_s5d
7,6,7,spray6_menu,sprays/spray6,dr_s6,dr_s6d
8,7,8,spray7_menu,sprays/spray7,dr_s7,dr_s7d
9,8,9,spray8_menu,sprays/spray8,dr_s8,dr_s8d
10,9,10,spray9_menu,sprays/spray9,dr_s9,dr_s9d
11,10,11,spray10_menu,sprays/spray10,dr_s10,dr_s10d
12,11,12,spray11_menu,sprays/spray11,dr_s11,dr_s11d
13,12,13,spray12_menu,sprays/spray12,dr_s12,dr_s12d
14,13,14,spray13_menu,sprays/spray13,dr_s13,dr_s13d
15,14,15,spray14_menu,sprays/spray14,dr_s14,dr_s14d
16,15,16,spray15_menu,sprays/spray15,dr_s15,dr_s15d
17,16,17,spray16_menu,sprays/spray16,dr_s16,dr_s16d
18,17,18,spray17_menu,sprays/spray17,dr_s17,dr_s17d
19,18,19,spray18_menu,sprays/spray18,dr_s18,dr_s18d
20,19,20,spray19_menu,sprays/spray19,dr_s19,dr_s19d
21,20,21,spray20_menu,sprays/spray20,dr_s20,dr_s20d

